DateTime,AddedIPs,RemovedIPs
1535549402,125,0
1535553002,122,0
1535556602,130,0
1535560202,140,0
1535563802,155,0
1535567402,147,0
1535571001,136,1
1535574602,137,0
1535578201,145,0
1535582702,155,0
1535586302,290,0
1535589902,249,3700
1535593501,143,0
1535597102,123,0
1535600702,130,0
1535604302,132,0
1535607902,169,0
1535611501,144,0
1535615102,185,0
1535618702,230,0
1535622301,218,0
1535625902,218,0
1535629502,197,0
1535633101,203,0
1535636702,134,0
1535640301,151,0
1535643902,139,0
1535647502,149,0
1535651101,150,0
1535654702,166,0
1535658302,159,0
1535661902,187,0
1535665502,244,0
1535669102,254,0
1535672702,251,0
1535676302,261,3728
1535679902,227,0
1535683502,217,0
1535687101,211,0
1535690702,200,0
1535694301,218,0
1535697902,226,0
1535701501,340,0
1535705102,216,0
1535708702,235,0
1535712302,216,0
1535715902,207,0
1535719501,207,0
1535723102,177,0
1535726702,195,0
1535730302,186,0
1535733902,187,0
1535737502,182,0
1535741101,156,0
1535744702,184,0
1535748302,181,0
1535751902,283,0
1535755502,193,0
1535759101,141,0
1535762702,160,4185
1535766302,163,0
1535769902,163,0
1535773502,141,0
1535777102,155,0
1535780702,167,0
1535784302,202,0
1535787902,207,0
1535791502,165,0
1535795102,185,0
1535798702,175,0
1535802302,201,0
1535805901,225,0
1535809501,188,0
1535813102,235,0
1535816702,197,0
1535820302,139,0
1535823902,140,0
1535827502,145,0
1535831102,149,2
1535834701,167,0
1535838302,134,0
1535841902,101,0
1535845502,125,0
1535849102,141,4955
1535852702,146,0
1535856302,129,0
1535859902,144,0
1535863501,138,0
1535867101,170,0
1535870702,133,0
1535874302,170,0
1535877901,169,0
1535881502,114,0
1535885102,156,0
1535888702,201,0
1535892302,158,0
1535895902,165,0
1535899502,157,0
1535903102,144,0
1535906702,119,0
1535910302,126,0
1535913902,136,0
1535917502,152,0
1535921101,122,0
1535924701,125,0
1535928302,157,0
1535931902,119,0
1535935502,250,4063
1535939101,142,0
1535942702,127,0
1535946302,120,0
1535949902,145,0
1535953502,147,0
1535957102,143,0
1535960702,390,0
1535964302,246,0
1535967901,285,0
1535971502,234,0
1535975102,239,0
1535978701,213,0
1535982301,279,0
1535985902,282,0
1535989502,225,0
1535993102,148,0
1535996701,162,0
1536000301,176,0
1536003902,195,0
1536007502,571,0
1536011101,151,0
1536014702,130,0
1536018302,115,0
1536021902,126,3440
1536025501,125,0
1536029101,154,0
1536032701,118,0
1536036301,167,0
1536039902,186,0
1536043502,192,0
1536047102,229,0
1536050702,203,0
1536054302,213,0
1536057902,190,0
1536061501,173,0
1536065102,239,0
1536068702,177,0
1536072302,185,0
1536075901,200,0
1536079502,188,0
1536083102,168,0
1536086702,176,0
1536090302,205,0
1536093902,607,0
1536097502,502,0
1536101102,176,0
1536104701,124,0
1536108302,146,4938
1536111902,152,0
1536115502,181,0
1536119102,168,0
1536122702,162,0
1536128102,259,0
1536131701,237,0
1536135302,276,0
1536138902,220,0
1536142502,184,0
1536146102,221,0
1536149702,224,0
1536153301,203,0
1536156902,187,0
1536160502,210,0
1536164101,226,0
1536167702,159,0
1536171302,151,0
1536174902,200,0
1536178502,172,0
1536182102,177,0
1536185702,173,0
1536190201,178,0
1536193802,155,5210
1536197402,178,0
1536201002,199,0
1536204601,159,0
1536208202,195,0
1536211801,224,0
1536215401,256,0
1536219001,331,0
1536222602,255,0
1536226202,194,0
1536229802,193,0
1536233402,230,0
1536237002,200,0
1536240602,293,0
1536244202,215,0
1536247801,193,0
1536251402,231,0
1536255002,183,2
1536258602,176,0
1536262202,198,0
1536265802,141,0
1536269402,158,0
1536273002,188,0
1536277502,265,0
1536281101,205,4453
1536284702,211,0
1536288302,175,0
1536291903,200,0
1536295502,180,0
1536299102,175,0
1536302701,205,0
1536306301,215,0
1536309902,190,0
1536313502,207,0
1536317102,230,0
1536320702,213,0
1536324302,165,0
1536327902,165,0
1536331502,183,0
1536335102,219,0
1536338702,174,0
1536342302,190,0
1536345902,154,0
1536349501,244,0
1536353102,149,0
1536356702,147,0
1536360302,216,0
1536363902,146,0
1536367502,151,5116
1536371101,158,0
1536374702,142,0
1536378301,135,0
1536381901,174,0
1536385502,154,0
1536389101,152,0
1536392701,204,0
1536396302,162,0
1536399902,195,0
1536403502,246,0
1536407101,222,0
1536410702,200,0
1536414302,201,0
1536417902,168,0
1536421502,169,0
1536425102,142,0
1536428702,161,0
1536432302,146,0
1536435902,173,0
1536439502,143,0
1536443102,129,0
1536446702,293,0
1536450301,176,0
1536453902,142,4574
1536457501,151,0
1536461102,279,0
1536464702,141,0
1536468302,153,0
1536471902,156,0
1536475501,184,0
1536479102,146,0
1536482701,158,0
1536486302,122,0
1536489902,109,0
1536493502,145,0
1536497102,124,0
1536500702,128,0
1536504302,124,0
1536507902,129,0
1536511502,140,0
1536515102,133,1
1536518702,131,0
1536522302,103,0
1536525902,136,0
1536529502,165,0
1536533102,183,0
1536536702,184,0
1536540301,115,4154
1536543901,119,0
1536547502,121,0
1536551102,145,0
1536554702,146,0
1536558302,127,0
1536561902,275,0
1536565502,482,0
1536569101,364,0
1536572702,303,0
1536576302,261,0
1536579902,292,0
1536583502,228,0
1536587102,218,0
1536590703,210,0
1536594302,147,0
1536597902,198,0
1536601502,136,0
1536605102,295,0
1536608702,202,0
1536612302,148,0
1536615901,152,0
1536619502,166,0
1536623101,197,0
1536626702,152,3576
1536630302,219,0
1536633902,154,0
1536637502,152,0
1536641102,151,0
1536644702,187,0
1536648302,178,0
1536651901,229,0
1536655502,228,0
1536659102,220,0
1536662702,221,0
1536666302,220,0
1536669902,241,0
1536673502,256,0
1536677102,181,0
1536680702,175,0
1536684302,188,0
1536687902,152,0
1536691502,171,0
1536695102,196,0
1536698702,173,0
1536702302,156,0
1536705902,140,0
1536709502,156,0
1536713102,148,4817
1536716702,275,0
1536720302,171,0
1536723901,163,0
1536727502,137,0
1536731102,173,0
1536734701,145,0
1536738302,188,0
1536741901,235,0
1536745503,195,0
1536749102,238,0
1536752702,232,0
1536756302,229,0
1536759902,244,0
1536763503,218,0
1536767102,202,0
1536770702,133,0
1536774302,145,0
1536777902,143,0
1536781502,148,0
1536785102,119,0
1536788702,131,0
1536792301,139,0
1536795901,150,0
1536799502,123,4546
1536803101,111,0
1536806702,171,0
1536810302,149,0
1536813901,176,0
1536817502,163,0
1536821102,170,0
1536824702,203,0
1536828302,184,0
1536831902,167,0
1536835502,200,0
1536839102,198,0
1536842702,175,0
1536846302,159,0
1536849902,140,0
1536853502,142,0
1536857102,110,0
1536860702,106,0
1536864302,107,0
1536867902,118,0
1536871502,123,0
1536875102,150,0
1536879602,199,0
1536883202,174,4484
1536886802,489,0
1536890402,441,0
1536894002,243,0
1536897602,217,0
1536901202,246,0
1536904802,226,0
1536908402,233,0
1536912002,234,0
1536915602,267,0
1536919202,231,0
1536922802,183,0
1536926402,227,0
1536930002,174,0
1536933602,207,0
1536937202,192,0
1536940802,196,0
1536944402,181,0
1536948002,196,0
1536951602,181,0
1536955202,172,0
1536958802,167,0
1536962402,156,0
1536966002,157,0
1536969602,134,3742
1536973202,302,0
1536976802,297,0
1536980402,136,0
1536984002,163,0
1536987602,181,0
1536991202,160,0
1536994802,154,0
1536998402,286,0
1537002002,214,0
1537005602,172,0
1537009202,195,0
1537012803,198,0
1537016402,187,0
1537020002,175,0
1537023602,233,0
1537027202,282,0
1537030803,152,0
1537034402,143,0
1537038002,249,0
1537041602,164,0
1537045202,164,0
1537048802,157,0
1537052402,163,0
1537056002,140,5114
1537059602,173,0
1537063202,195,0
1537066802,165,0
1537070402,156,0
1537074002,147,0
1537077602,144,0
1537081202,135,0
1537084802,136,0
1537088402,138,0
1537092002,142,0
1537095602,136,0
1537099202,171,0
1537102802,167,0
1537106402,149,0
1537110002,490,0
1537113602,162,0
1537117201,160,0
1537120803,366,0
1537124402,168,0
1537128002,186,0
1537131603,203,0
1537135202,220,0
1537138802,154,0
1537142402,161,4622
1537146002,188,0
1537149602,174,0
1537153202,391,0
1537156802,155,0
1537160402,190,0
1537164002,189,0
1537167602,220,0
1537171202,262,0
1537174802,216,0
1537178402,217,0
1537182002,188,0
1537185602,202,0
1537189202,171,0
1537192802,161,0
1537196402,135,0
1537200002,166,0
1537203603,238,0
1537207202,152,0
1537210802,178,0
1537214403,179,0
1537218003,157,0
1537221602,234,0
1537225203,162,0
1537228802,134,4404
1537232402,153,0
1537236002,192,0
1537239602,173,0
1537243201,179,0
1537246802,156,0
1537250402,200,0
1537254002,180,0
1537257602,255,0
1537261202,196,1
1537264802,203,0
1537268402,226,0
1537272002,192,0
1537275602,182,0
1537279202,301,0
1537282802,167,0
1537286402,231,0
1537290001,168,0
1537293602,168,0
1537297202,291,1
1537300803,317,0
1537304402,313,0
1537308002,169,0
1537311602,170,0
1537315202,161,4668
1537318803,177,0
1537322402,179,0
1537326002,222,0
1537329602,505,0
1537333202,175,0
1537336802,205,0
1537340402,199,0
1537344002,208,0
1537347602,244,0
1537351202,353,0
